id,url,name,cap,ser,wh,price,pwh,stock,whouse
37467,http://www.hobbyking.com/hobbyking/store/__37467__ZIPPY_Flightmax_2650mAh_2S1P_45C_UK_Warehouse_.html,ZIPPY Flightmax 2650mAh 2S1P 45C (UK Warehouse),2650,2,19.61,14.95,0.7623661397246303,6,GB
26716,http://www.hobbyking.com/hobbyking/store/__26716__Turnigy_1600mAh_4S_20C_Lipo_Pack_UK_Warehouse_.html,Turnigy 1600mAh 4S 20C Lipo Pack (UK Warehouse),1600,4,23.68,15.15,0.6397804054054055,50,GB
37518,http://www.hobbyking.com/hobbyking/store/__37518__Turnigy_nano_tech_1000mAh_4S_45_90C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 1000mAh 4S 45~90C Lipo Pack (UK Warehouse),1000,4,14.8,15.25,1.0304054054054053,50,GB
51365,http://www.hobbyking.com/hobbyking/store/__51365__Rhino_2250mAh_3S1P_30C_Lipoly_Pack_UK_Warehouse_.html,Rhino 2250mAh 3S1P 30C Lipoly Pack  (UK Warehouse),2250,3,24.975,14.98,0.5997997997997998,27,GB
32245,http://www.hobbyking.com/hobbyking/store/__32245__Turnigy_nano_tech_3000mah_2S_25_50C_Lipo_Pack_UK_Warehouse_.html,Turnigy nano-tech 3000mah 2S 25~50C Lipo Pack (UK Warehouse),3000,2,22.2,15.5,0.6981981981981982,21,GB
73728,http://www.hobbyking.com/hobbyking/store/__73728__ZIPPY_Compact_1500mAh_3s_40c_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 1500mAh 3s 40c Lipo Pack (UK Warehouse),1500,3,16.650000000000002,15.34,0.9213213213213212,11,GB
32100,http://www.hobbyking.com/hobbyking/store/__32100__ZIPPY_Compact_4000mAh_2S_25C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 4000mAh 2S 25C Lipo Pack (UK Warehouse),4000,2,29.6,15.65,0.5287162162162162,29,GB
31954,http://www.hobbyking.com/hobbyking/store/__31954__ZIPPY_Flightmax_3000mAh_3S1P_20C_UK_Warehouse_.html,ZIPPY Flightmax 3000mAh 3S1P 20C (UK Warehouse),3000,3,33.300000000000004,15.9,0.47747747747747743,0,GB
37015,http://www.hobbyking.com/hobbyking/store/__37015__Turnigy_1800mAh_2S_30C_Lipo_Pack_UK_Warehouse_.html,Turnigy 1800mAh 2S 30C Lipo Pack (UK Warehouse),1800,2,13.32,15.85,1.18993993993994,49,GB
31980,http://www.hobbyking.com/hobbyking/store/__31980__ZIPPY_Compact_2700mAh_3S_25C_Lipo_Pack_UK_Warehouse_.html,ZIPPY Compact 2700mAh 3S 25C Lipo Pack (UK Warehouse),2700,3,29.970000000000002,15.95,0.5321988655321988,20,GB
